time,supportnumber,commentnumber,repostnumber,text
06-07,3241,367,1211,"海霞：今天发布的，全篇3.7万字，如果要用一个词概括，我觉得是“行动”。我国能够控制住疫情，靠的就是行动，迅速而果断的行动，全民团结一致的行动。自强坚韧守望相助的14亿中国人民，都是抗击疫情的伟大战士！  ..."
06-07,24849,1282,1308,"据美媒报道，在美国民众聚集在白宫围栏外，抗议种族歧视和警察暴力执法时，特朗普曾两次被带入。美媒报道，这个神秘的“白宫地堡”共5层，储存的食物足够维持数月。看视频↓  "
06-07,1460,513,657," ：要坚持，不要等以后再后悔； ：再坚持一下，真的会不一样； ：能使出十分的力就不要使九分！ ：这是最好的一段时光，日后想起依旧会闪闪发光~"
06-07,18194,1204,2185,"张伟丽：“台上我想赢想当冠军，练武的人都希望拿天下第一。台下我喜欢搞笑，生活里很女孩。我喜欢吃甜食冷饮，刚开始训练时会偷喝可乐。但现在不会了，因为小细节堆多了就是大问题了。”怎么才能忍住？张伟丽说，想想你的对手。  ..."
06-07,28758,971,834,"近日，美国警察暴力执法致非裔男子弗洛伊德死亡事件持续发酵，美国多地民众举行抗议活动。美媒称受此影响，多州新增新冠肺炎病例数也创了新高。看直播，听现居美国华盛顿的 分享他的所见所感↓  . "
06-07,140572,2783,6391,"她42秒技术性终结对手，是终极格斗冠军赛历史上首位中国冠军，成功卫冕世界冠军金腰带！坚定的信念，高度的自律，还有谦虚和血性……她是张伟丽，八角笼内“最能打的中国女人”。一起看直播↓  . "
06-07,4119,337,629,"近日，辽宁大连，在雨中执勤的梁家超看到一位过马路的老人，无法跨过积水。眼看信号灯即将变绿灯，因担心老人发生意外，他急忙赶过去，“熊抱”老人过了马路。老人事后回忆：“他二话没说马上蹲下，踩着雨水顶着大雨，把我抱到对面马路上了……”为他点赞！  ..."
06-07,2408,197,352,"大好河山的绝美夜景，配上拍的绝美星空，“陪你走过春夏秋冬，惯看秋月春风~”  "
06-07,7304,598,1460,"近日，在亚丁湾，一群海豚与中国海军第35批护航编队结伴同行，画风可爱↓↓网友：跟中国海军在一起很有安全感吧？  "
06-07,5107,897,778,"广西多地连降暴雨：形成，广西梧州已发布洪水蓝色预警和城市防洪蓝色警报，预计今晚西江梧州段水位将超警戒水位18.5米；汕昆高速河池七号隧道出口附近山体塌方，巨石滚落阻碍交通；百色田林县发生山体滑坡，一处民房被冲毁，1人失联。提醒注意防范 ..."
06-07,3158,258,215,"  . "
06-07,1407,135,266,"11月5日至10日，第三届将在上海举办。今天，首届“国展集市”开启，50多家海外展商亮相“四叶草”，还有非遗项目自贡灯会的大型灯组，点亮上海。集市上都有哪些进口好物？看直播！（总台央视记者魏然）  . "
06-07,277593,12023,3641,"连日来，乔治·弗洛伊德之死及美国社会根深蒂固的种族歧视在全球多国引发抗议。全美多地、英国、法国、德国、日本、澳大利亚等国均举行大规模示威游行，反对种族歧视和警察暴力↓  "
06-07,8099,1267,785,"中央气象台今天发布暴雨黄色预警：今明两天，预计贵州、湖南、江西、福建、广西、广东等地部分地区大到暴雨。受暴雨影响，广西、湖南、广东、云南部分地区遇洪水、内涝、山体滑坡等。广西今天14时已升级发布洪水橙色预警，。提 ..."
06-07,5009,740,495,"，在河北衡水二中动员大会上，高三学子们集体呐喊宣誓，为自己加油！网友：每一声呐喊，都是必胜的信心！这届高考生不容易，沉住气，加把劲，祝你们都考出好成绩！  "
06-07,91652,1739,1421,"  "
06-07,6888,681,2259,"今天，发布。这份中国答卷中的每一个数字，都包含着中国人民刻骨铭心的记忆，都体现着中国人民团结奋斗、坚韧不拔的精神！转起！ "
06-07,54272,2778,1431,"CNN日前曝光的视频显示，当地时间5月30日凌晨，美国亚特兰大市，一非裔女子因移动了路障被警察拦下。警察追上其将其摔在地上，致其锁骨骨折。当地警方表示，相关部门正对涉事警察进行调查。女子的律师则表示，就在人们抗议时，警察暴力执法仍在上 ..."
06-07,6710,1134,499,"近日，杭州多条公交线路，新增手机充电接口，可随时给手机充电。截至本月底，将有550辆配备USB充电接口的公交车投放运营，今年底前会完成1280辆投放！  "
06-07,3435,331,811,"距高考还剩30天，巩固所学、奋力追赶，再上一个台阶，？看 发布改编自清华园中真实故事的《追光少年》↓↓不要小看每一次努力和坚持！尘埃落定前，用尽全力！转起，为考生加油！ "
06-07,5800,619,3992,"今天，记录14亿中国人民抗击疫情伟大历程的《抗击新冠肺炎疫情的中国行动》白皮书正式发布↓↓  "
06-07,275165,8448,8977,"陶勇医生的左手因神经和肌腱被砍断，至今仍未恢复知觉。曾经的他“最多时1天做过86场手术”，如今吃饭都有些笨拙。“治病救人不一定非得在手术台上。”“就像爬山不小心被石头绊倒了，站起来继续走。”他开始用23年的医学知识储备，做科研、公益和科普直播↓  ..."
06-07,13553,922,1162,"指出，从出生仅30小时的婴儿至100多岁的老人，中国不计代价抢救每位患者！疫情发生以来，湖北成功治愈3000余位80岁以上、7位百岁以上新冠肺炎患者。一位七旬老人确诊后，10多名医护人员精心救护几十天，终于 ..."
